	id	title	year	genres	runtime	numvotes	rating	sub_id
2091	5848272	Ralph Breaks the Internet	2018	['Animation', 'Adventure', 'Comedy']	112	79604	7.1	1956173778
2092	1135985	Sex Drive	2008	['Adventure', 'Comedy', 'Romance']	109	79561	6.5	1952041974
2093	213847	Malèna	2000	['Comedy', 'Drama', 'Romance']	108	79545	7.5	1953545485
2094	4094724	The Purge: Election Year	2016	['Action', 'Horror', 'Sci-Fi']	108	79539	6.0	1955322477
2095	5164432	Love, Simon	2018	['Comedy', 'Drama', 'Romance']	110	79525	7.6	1955954154
2096	120780	Out of Sight	1998	['Crime', 'Drama', 'Romance']	123	79512	7.0	1952005366
2097	1559547	Beautiful Creatures	2013	['Drama', 'Fantasy', 'Romance']	124	79503	6.2	1953506831
2098	1440292	Submarine	2010	['Comedy', 'Drama', 'Romance']	97	79488	7.3	1952894195
2099	111495	Three Colors: Red	1994	['Drama', 'Mystery', 'Romance']	99	79470	8.1	1951633627
2100	58385	My Fair Lady	1964	['Drama', 'Family', 'Musical']	170	79344	7.9	1952217888
2101	86979	Blood Simple	1984	['Crime', 'Drama', 'Thriller']	99	79321	7.6	1951739035
2102	460740	Cashback	2006	['Comedy', 'Drama', 'Romance']	102	79300	7.2	1951684894
2103	1263670	Crazy Heart	2009	['Drama', 'Music', 'Romance']	112	79202	7.3	1952303641
2104	165798	Ghost Dog: The Way of the Samurai	1999	['Action', 'Crime', 'Drama']	116	79202	7.5	1952046767
2105	396555	Meet the Robinsons	2007	['Animation', 'Adventure', 'Comedy']	95	79192	6.9	1951692173
2106	1667353	Mirror Mirror	2012	['Adventure', 'Comedy', 'Drama']	106	79184	5.6	1953140298
2107	1322269	August: Osage County	2013	['Drama']	121	79108	7.2	1954076595
2108	1859650	To Rome with Love	2012	['Comedy', 'Music', 'Romance']	112	79100	6.3	1953244189
2109	118887	Cop Land	1997	['Crime', 'Drama', 'Thriller']	105	79077	6.9	1952314081
2110	844708	The Last House on the Left	2009	['Horror', 'Thriller']	110	78959	6.6	1952173026
2111	2567026	Alice Through the Looking Glass	2016	['Adventure', 'Family', 'Fantasy']	113	78934	6.2	1955317485
2112	1853739	You're Next	2011	['Action', 'Comedy', 'Horror']	95	78932	6.6	1954067820
2113	181536	Finding Forrester	2000	['Drama']	136	78832	7.3	1952011520
2114	455760	Dead Silence	2007	['Horror', 'Mystery']	89	78751	6.2	1951669316
2115	327437	Around the World in 80 Days	2004	['Action', 'Adventure', 'Comedy']	120	78619	5.9	1951948745
2116	2205697	Stuck in Love	2012	['Comedy', 'Drama', 'Romance']	97	78607	7.2	1953726490
2117	284837	Ali G Indahouse	2002	['Comedy']	85	78563	6.2	157453
2118	1506999	Haywire	2011	['Action', 'Drama', 'Thriller']	93	78510	5.8	1953088034
2119	346156	Sky Captain and the World of Tomorrow	2004	['Action', 'Adventure', 'Mystery']	106	78509	6.1	420
2120	105417	Sister Act	1992	['Comedy', 'Crime', 'Family']	100	78481	6.3	1953082843
2121	285742	Monster's Ball	2001	['Drama', 'Romance']	111	78449	7.1	29712
2122	95647	Mississippi Burning	1988	['Crime', 'Drama', 'History']	128	78447	7.8	1954757149
2123	252076	Maid in Manhattan	2002	['Comedy', 'Drama', 'Romance']	105	78430	5.2	1952029228
2124	402399	The New World	2005	['Biography', 'Drama', 'History']	135	78387	6.7	315956
2125	114214	The Quick and the Dead	1995	['Action', 'Romance', 'Thriller']	107	78364	6.4	1952195522
2126	5758778	Skyscraper	2018	['Action', 'Adventure', 'Thriller']	102	78342	5.8	1956047741
2127	2382009	Nymphomaniac: Vol. II	2013	['Drama']	124	78295	6.7	1954172782
2128	400717	Open Season	2006	['Animation', 'Adventure', 'Comedy']	86	78138	6.1	1951626406
2129	90329	Witness	1985	['Crime', 'Drama', 'Romance']	112	78058	7.4	1951734194
2130	100758	Teenage Mutant Ninja Turtles	1990	['Action', 'Adventure', 'Comedy']	93	78052	6.8	1951966643
2131	154506	Following	1998	['Crime', 'Mystery', 'Thriller']	69	78000	7.6	1951631781
2132	4682786	Collateral Beauty	2016	['Drama', 'Romance']	97	77989	6.8	1955478093
2133	160862	She's All That	1999	['Comedy', 'Romance']	95	77878	5.9	1952146771
